"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2024","4,394.37","4,392.37","4,411.15","4,384.30","26.14M","0.13%"
"02/09/2024","4,388.75","4,412.14","4,422.56","4,378.02","39.77M","-0.63%"
"02/08/2024","4,416.70","4,450.49","4,464.77","4,395.24","47.55M","-0.59%"
"02/07/2024","4,443.02","4,443.65","4,463.64","4,431.04","38.66M","-0.34%"
"02/06/2024","4,458.27","4,445.42","4,461.35","4,415.27","33.68M","0.55%"
"02/05/2024","4,433.87","4,462.17","4,470.65","4,418.99","44.07M","-1.02%"
"02/02/2024","4,479.53","4,505.50","4,513.35","4,476.86","30.56M","-0.14%"
"02/01/2024","4,485.87","4,528.69","4,536.84","4,483.90","43.68M","-1.38%"
"01/31/2024","4,548.79","4,569.93","4,570.06","4,548.79","45.82M","-0.16%"
"01/30/2024","4,556.07","4,592.36","4,606.59","4,548.39","40.92M","-0.58%"
"01/29/2024","4,582.56","4,572.89","4,582.56","4,536.71","37.93M","-0.02%"
"01/26/2024","4,583.55","4,553.23","4,591.28","4,515.83","44.82M","0.91%"
"01/25/2024","4,542.05","4,502.89","4,546.19","4,497.43","75.64M","1.17%"
"01/24/2024","4,489.48","4,479.87","4,496.55","4,465.55","37.14M","0.91%"
"01/23/2024","4,449.13","4,433.84","4,463.00","4,421.21","35.50M","0.56%"
"01/22/2024","4,424.45","4,413.75","4,431.91","4,398.80","35.56M","0.66%"
"01/19/2024","4,395.45","4,458.22","4,468.08","4,392.79","34.27M","-1.33%"
"01/18/2024","4,454.74","4,457.10","4,466.85","4,439.65","31.13M","-0.16%"
"01/17/2024","4,461.77","4,491.05","4,491.18","4,444.76","35.52M","-1.74%"
"01/16/2024","4,540.82","4,530.66","4,542.46","4,513.39","29.62M","-0.38%"
"01/15/2024","4,558.33","4,577.83","4,593.10","4,554.23","19.31M","-0.24%"
"01/12/2024","4,569.31","4,542.27","4,575.70","4,542.27","32.05M","0.91%"
"01/11/2024","4,527.90","4,564.69","4,573.42","4,525.19","31.65M","-0.50%"
"01/10/2024","4,550.55","4,550.06","4,552.70","4,533.70","33.08M","-0.27%"
"01/09/2024","4,563.02","4,601.36","4,610.71","4,542.81","38.74M","-0.50%"
"01/08/2024","4,585.79","4,561.41","4,586.27","4,528.55","32.20M","0.17%"
"01/05/2024","4,577.80","4,533.74","4,585.93","4,512.81","34.55M","0.49%"
"01/04/2024","4,555.44","4,499.65","4,559.17","4,499.65","33.74M","1.55%"
"01/03/2024","4,486.02","4,546.00","4,555.14","4,467.61","34.86M","-1.12%"
"01/02/2024","4,537.05","4,519.31","4,569.61","4,518.90","38.90M","0.47%"
"12/29/2023","4,515.97","4,529.86","4,541.48","4,509.09","14.61M","-0.29%"
"12/28/2023","4,529.24","4,541.65","4,553.11","4,514.39","23.83M","-0.37%"
"12/27/2023","4,545.88","4,516.54","4,565.85","4,516.08","26.09M","0.54%"
"12/22/2023","4,521.38","4,473.54","4,521.98","4,472.02","29.99M","0.95%"
"12/21/2023","4,478.71","4,470.95","4,479.98","4,457.19","30.40M","-0.37%"
"12/20/2023","4,495.52","4,492.41","4,504.08","4,467.90","37.97M","0.22%"
"12/19/2023","4,485.87","4,446.79","4,494.20","4,446.79","39.22M","0.93%"
"12/18/2023","4,444.35","4,420.83","4,462.41","4,419.26","37.48M","0.24%"
